"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","shrunk_log2FoldChange"
"ENSRNA050029505",12.1052069809341,-6.64080924225053,2.89145676293094,-2.29670017113416,0.0216358796876978,0.343189815735896,-0.106977635307086
"ENSRNA050029543",15.0706550751247,-2.62213257525642,1.68793360793711,-1.55345717564155,0.120313952547141,0.754467984770015,-0.0762824708394021
"ENSRNA050029547",30.1316379495957,-1.58341573250037,1.47324630824439,-1.07478004434117,0.282473216884719,0.976565639024833,-0.042304438528407
"ENSRNA050029557",22.7123326482931,-2.1147006335322,1.59078368639299,-1.32934518477943,0.183734113406517,0.873317140646362,-0.0588865140088047
"ENSRNA050029620",18.5794422001586,-1.53738521051808,1.27568243801073,-1.2051472723223,0.228146453340295,0.930934670637515,-0.0498865902579663
"ENSRNA050029622",18.5682063687216,-1.76947753957128,1.70637846345118,-1.03697835941534,0.299745942729364,0.989732494691303,-0.0399837918989851
"ENSRNA050029624",11.8028197713681,-2.10975196580329,1.70244776862824,-1.23924622222227,0.215254327685204,0.916862521053073,-0.0518903474278256
"ENSRNA050029646",670.057672033285,-1.76014318186082,1.12748934945165,-1.56111734688835,0.118496065862481,0.751584304134286,-0.0813197416740159
"ENSRNA050029649",7115.97533404944,-1.89235230044712,1.15000239207328,-1.64552031673213,0.0998625564298367,0.709240571678298,-0.0922239597152945
"ENSRNA050029653",13845.7610947629,-2.13176267028433,1.14942539630541,-1.85463334735463,0.0636486027172062,0.591776539597738,-0.125538755329511
"ENSRNA050029658",182.587363261073,-1.27101278509721,1.32902906145575,-0.956346871531168,0.338897016768539,0.999960910744343,-0.0351391745183898
"ENSRNA050029699",14.3065916174617,-0.627850813356607,1.08905954603042,-0.576507332078491,0.56427231539682,0.999960910744343,-0.0166531290143721
"ENSRNA050029701",5.69874792518473,-0.78734618157353,1.07942216224969,-0.729414504453544,0.465748148049683,0.999960910744343,-0.0221604722279569
"ENSRNA050029703",11.3722490781549,-2.75313388246692,1.45833529734675,-1.88786069121132,0.0590446548912512,0.573007199366573,-0.123116510806192
"ENSRNA050029732",136854.28101712,-1.54771970263549,1.09510727693291,-1.4133041896774,0.157566302642717,0.828348792967106,-0.0649761107526116
"ENSRNA050029735",28636.7349312654,-2.22511765701859,1.10207085947154,-2.0190332027158,0.0434837686365889,0.491328608502943,-0.161837352039149
"ENSRNA050029737",11401.8852677299,-1.59955839186026,1.1126349579345,-1.43763089632712,0.150538809698106,0.816512240307263,-0.067639775847578
"ENSRNA050029739",360.842388368023,-1.49680517120456,1.13905429765805,-1.31407710262984,0.188820258750164,0.881350108356451,-0.0567935717122705
"ENSRNA050029741",9463.59809467912,-1.91902888217621,1.2602221488263,-1.52277031788679,0.127816178427059,0.769126422511662,-0.0776540103816101
"ENSRNA050029745",536.894189588145,-1.40849364707796,1.13948423878867,-1.23607997296678,0.216428838326229,0.918558378530775,-0.0506684016598105
"ENSRNA050029789",290.516156289402,-2.34825822056706,1.441837551506,-1.6286565834787,0.103385738620198,0.717643131554838,-0.088133801650004
"ENSRNA050029812",1946.53617277489,-2.00778957320263,1.73471265040556,-1.15741911072893,0.247101169873039,0.950695367994948,-0.0466373163272633
"ENSRNA050029894",72380.6092056212,-2.01900881916778,1.12547587953921,-1.79391567235932,0.0728266295547169,0.625263887093587,-0.114788169118577
"ENSRNA050029895",15870.1990723571,-1.8799077220629,1.10904348436251,-1.69507124704267,0.0900619059321136,0.680897610631652,-0.0989723298780129
