"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","gene_set"
"Environmental Information Processing","Signal transduction","sly04075","Plant hormone signal transduction","22/142","437/11892",0.0503432494279176,4.21606987462533,7.53014044176321,9.7971365931244e-09,8.2295947382245e-07,5.98140970948648e-07,"100736540/101247461/544204/101250433/101245105/543601/101248225/101055583/101244285/100037508/104649549/101250944/101268443/101267355/101251993/100736477/101246226/101266575/101268544/101245906/543712/101055552",22,"leaf_light_up"
"Metabolism","Carbohydrate metabolism","sly00030","Pentose phosphate pathway","8/142","55/11892",0.145454545454545,12.1813060179257,9.13666040326528,2.57183117400474e-07,1.08016909308199e-05,7.85085305748815e-06,"101264273/101249787/101246870/101268121/101244195/101266629/101251315/101250853",8,"leaf_light_up"
"Metabolism","Energy metabolism","sly00710","Carbon fixation by Calvin cycle","9/142","82/11892",0.109756097560976,9.19168670559945,8.1825702020349,5.3527521721791e-07,1.49877060821015e-05,1.08933202100487e-05,"101264273/101249787/101248407/101265236/101246870/101261166/101266629/101251315/101250853",9,"leaf_light_up"
"Organismal Systems","Environmental adaptation","sly04712","Circadian rhythm - plant","7/142","47/11892",0.148936170212766,12.4728798321846,8.6633980625574,1.25934283096441e-06,2.64461994502527e-05,1.92215484726147e-05,"778294/778295/101261662/778253/101267355/101249991/101256107",7,"leaf_light_up"
"Metabolism","Carbohydrate metabolism","sly00051","Fructose and mannose metabolism","8/142","70/11892",0.114285714285714,9.57102615694165,7.90625452511081,1.71522553322894e-06,2.88157889582463e-05,2.09438065110061e-05,"101264273/101249787/101261972/101265391/101246870/101268121/101266629/101250853",8,"leaf_light_up"
"Metabolism","Metabolism of terpenoids and polyketides","sly00906","Carotenoid biosynthesis","6/142","39/11892",0.153846153846154,12.8840736728061,8.17180369221583,6.15029892625774e-06,8.61041849676084e-05,6.25819890742016e-05,"544104/101266862/101265985/543988/544133/543964",6,"leaf_light_up"
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","11/142","193/11892",0.0569948186528497,4.77311537619499,5.8095005604265,1.94046143993859e-05,0.000232855372792631,0.000169243253408178,"101247461/101250433/101245105/101256105/101251136/100736474/101250944/101265257/104645860/101245906/543712",11,"leaf_light_up"
"Metabolism","Carbohydrate metabolism","sly00562","Inositol phosphate metabolism","7/142","77/11892",0.0909090909090909,7.61331626120358,6.40003309895299,3.57405468829285e-05,0.000375275742270749,0.000272756805159191,"101262540/543809/544280/100301920/101262094/544226/544013",7,"leaf_light_up"
"Metabolism","Global and overview maps","sly01200","Carbon metabolism","13/142","290/11892",0.0448275862068966,3.75415250121418,5.21981343547929,4.30912530442812e-05,0.000402185028413291,0.000292314932931966,"101264273/101245503/101249787/101248407/101265236/101265715/101246870/101268121/101261166/101244195/101266629/101251315/101250853",13,"leaf_light_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00941","Flavonoid biosynthesis","5/142","37/11892",0.135135135135135,11.317091739627,6.90942335476892,7.24978710487875e-05,0.000608982116809815,0.000442618581139966,"778294/100736482/101249699/778295/101266223",5,"leaf_light_up"
