cluster,gene_id
0,Solyc03g117980
0,Solyc01g107170
0,Solyc06g076080
0,Solyc01g106830
0,Solyc03g122340
0,Solyc02g077040
0,Solyc05g014760
0,Solyc04g077980
0,Solyc04g079250
0,Solyc03g123370
0,Solyc08g008280
0,Solyc01g095620
0,Solyc07g049530
0,Solyc07g006280
0,Solyc10g086280
0,Solyc01g007030
0,Solyc01g087980
0,Solyc06g075690
0,Solyc07g048070
0,Solyc06g068460
0,Solyc09g097960
0,Solyc01g073890
0,Solyc04g078325
0,Solyc04g007140
0,Solyc04g074680
0,Solyc02g092820
0,Solyc08g067360
0,Solyc07g056500
0,Solyc06g035450
0,Solyc01g007000
0,Solyc07g053550
0,Solyc02g089620
0,Solyc05g009650
0,Solyc01g005420
0,Solyc06g009020
0,Solyc07g056200
0,Solyc08g067340
0,Solyc03g033770
0,Solyc01g091590
0,Solyc07g065160
0,Solyc08g068610
0,Solyc03g118470
0,Solyc08g068690
0,Solyc03g083480
0,Solyc01g005160
0,Solyc08g078190
0,Solyc02g093050
0,Solyc01g108240
0,Solyc01g107780
0,Solyc02g068680
0,Solyc01g095630
0,Solyc01g007040
0,Solyc06g035620
0,Solyc03g082530
0,Solyc08g068680
0,Solyc10g055740
0,Solyc03g082370
0,Solyc01g095100
0,Solyc04g048900
0,Solyc08g082110
0,Solyc11g011030
0,Solyc01g107820
0,Solyc01g109110
0,Solyc02g092860
0,Solyc10g050970
0,Solyc03g117860
0,Solyc04g080820
0,Solyc01g100010
0,Solyc00g500358
0,Solyc07g056600
0,Solyc07g040960
0,Solyc09g092500
0,Solyc01g005430
0,Solyc02g064830
0,Solyc04g025530
0,Solyc06g082570
0,Solyc04g074950
0,Solyc09g015770
0,Solyc01g105630
0,Solyc02g080890
0,Solyc08g081610
0,Solyc04g071480
0,Solyc10g055760
0,Solyc01g073820
0,Solyc09g059430
0,Solyc08g079520
0,Solyc06g049020
0,Solyc09g092480
0,Solyc02g089630
0,Solyc04g082960
0,Solyc05g008625
0,Solyc06g062920
0,Solyc03g026280
0,Solyc04g077230
0,Solyc01g097380
0,Solyc11g006030
0,Solyc07g008140
0,Solyc04g008100
0,Solyc09g011600
0,Solyc06g083390
1,Solyc10g055200
1,Solyc08g067960
1,Solyc12g007045
1,Solyc05g006390
1,Solyc04g072000
1,Solyc04g080280
1,Solyc02g082450
1,Solyc08g078510
1,Solyc08g062437
1,Solyc10g084400
1,Solyc04g014600
1,Solyc05g016060
1,Solyc08g080940
1,Solyc09g011590
1,Solyc01g005410
1,Solyc06g036290
1,Solyc09g011740
1,Solyc05g052750
1,Solyc05g007460
1,Solyc07g056510
1,Solyc03g020010
1,Solyc01g102390
1,Solyc08g077980
1,Solyc11g006540
1,Solyc04g011430
1,Solyc06g009020
1,Solyc03g025640
1,Solyc04g071590
1,Solyc03g007890
1,Solyc06g072330
1,Solyc11g069700
1,Solyc09g061620
1,Solyc08g079170
1,Solyc02g093520
1,Solyc01g006950
1,Solyc05g015390
1,Solyc10g008730
1,Solyc08g062340
1,Solyc01g102960
1,Solyc02g067750
1,Solyc06g005160
1,Solyc11g011340
1,Solyc09g015000
1,Solyc05g015530
1,Solyc04g064510
1,Solyc08g078700
1,Solyc11g005670
1,Solyc04g071600
1,Solyc03g098740
1,Solyc09g061310
1,Solyc07g053615
1,Solyc08g075550
1,Solyc03g097840
1,Solyc11g066100
1,Solyc04g082960
1,Solyc07g048120
1,Solyc07g056470
1,Solyc05g007895
1,Solyc01g150165
1,Solyc01g102290
1,Solyc10g081980
1,Solyc03g098730
1,Solyc01g107100
1,Solyc02g087350
1,Solyc10g055740
1,Solyc01g109140
1,Solyc05g051570
1,Solyc06g150138
1,Solyc10g085010
1,Solyc01g100230
1,Solyc08g075540.5
1,Solyc06g065060
1,Solyc01g107090
1,Solyc06g009050
1,Solyc09g015020
1,Solyc11g010380
1,Solyc02g065540
1,Solyc03g115610
1,Solyc09g082270
1,Solyc01g009780
1,Solyc11g073060
1,Solyc10g086710
1,Solyc01g096930
1,Solyc08g078070
1,Solyc04g072280
1,Solyc05g055010
1,Solyc01g073720
1,Solyc06g076560
1,Solyc02g068110
1,Solyc03g123540
1,Solyc07g056480
1,Solyc12g005980
1,Solyc12g043120
1,Solyc11g073075
1,Solyc03g115230
1,Solyc03g120260
1,Solyc01g099370
1,Solyc08g007460
1,Solyc10g079890
1,Solyc01g096270
10,Solyc02g071620
10,Solyc09g075210
10,Solyc04g082200
10,Solyc01g007020
10,Solyc09g097770
10,Solyc07g062700
