cell_type,gene_id
Epidermis,Solyc02g082613
Epidermis,Solyc02g082770
Epidermis,Solyc02g082910
Epidermis,Solyc02g082970
Epidermis,Solyc02g083200
Epidermis,Solyc02g083280
Epidermis,Solyc02g084167
Epidermis,Solyc02g085315
Epidermis,Solyc02g085370
Epidermis,Solyc02g085420
Epidermis,Solyc02g085672
Epidermis,Solyc02g085720
Epidermis,Solyc02g086440
Epidermis,Solyc02g086645
Epidermis,Solyc02g086750
Epidermis,Solyc02g086780
Epidermis,Solyc02g086970
Epidermis,Solyc02g087360
Epidermis,Solyc02g087420
Epidermis,Solyc02g087430
Epidermis,Solyc02g088120
Epidermis,Solyc02g088280
Epidermis,Solyc02g088940
Epidermis,Solyc02g088950
Epidermis,Solyc02g089010
Epidermis,Solyc02g089290
Epidermis,Solyc02g089330
Epidermis,Solyc02g089490
Epidermis,Solyc02g089520
Epidermis,Solyc02g090260
Epidermis,Solyc02g090267
Epidermis,Solyc02g090450
Epidermis,Solyc02g090470
Epidermis,Solyc02g091030
Epidermis,Solyc02g091270
Epidermis,Solyc02g091440
Epidermis,Solyc02g091500
Epidermis,Solyc02g091620
Epidermis,Solyc02g091660
Epidermis,Solyc02g091740
Epidermis,Solyc02g092250
Epidermis,Solyc02g092300
Epidermis,Solyc02g092870
Epidermis,Solyc02g093100
Epidermis,Solyc02g093193
Epidermis,Solyc02g093320
Epidermis,Solyc02g093660
Epidermis,Solyc02g093670
Epidermis,Solyc02g093760
Epidermis,Solyc02g094330
Epidermis,Solyc02g094380
Epidermis,Solyc02g094480
Epidermis,Solyc02g094751
Epidermis,Solyc03g005050
Epidermis,Solyc03g006310
Epidermis,Solyc03g006500
Epidermis,Solyc03g007420
Epidermis,Solyc03g007500
Epidermis,Solyc03g007560
Epidermis,Solyc03g007820
Epidermis,Solyc03g007825
Epidermis,Solyc03g007930
Epidermis,Solyc03g025480
Epidermis,Solyc03g025490
Epidermis,Solyc03g025530
Epidermis,Solyc03g025940
Epidermis,Solyc03g032030
Epidermis,Solyc03g032140
Epidermis,Solyc03g032180
Epidermis,Solyc03g032230
Epidermis,Solyc03g033350
Epidermis,Solyc03g033360
Epidermis,Solyc03g033390
Epidermis,Solyc03g033530
Epidermis,Solyc03g043620
Epidermis,Solyc03g044097
Epidermis,Solyc03g044273
Epidermis,Solyc03g045110
Epidermis,Solyc03g046207
Epidermis,Solyc03g046570
Epidermis,Solyc03g071650
Epidermis,Solyc03g071720
Epidermis,Solyc03g058930
Epidermis,Solyc03g059080
Epidermis,Solyc03g059150
Epidermis,Solyc03g059190
Epidermis,Solyc03g059360
Epidermis,Solyc03g061655
Epidermis,Solyc03g062700
Epidermis,Solyc03g062910
Epidermis,Solyc03g063480
Epidermis,Solyc03g063650
Epidermis,Solyc03g078210
Epidermis,Solyc03g078570
Epidermis,Solyc03g078580
Epidermis,Solyc03g080030
Epidermis,Solyc03g080140
Epidermis,Solyc03g082367
Epidermis,Solyc03g082740
Epidermis,Solyc03g082770
Epidermis,Solyc03g083140
Epidermis,Solyc03g083370
Epidermis,Solyc03g083500
Epidermis,Solyc03g083590
Epidermis,Solyc03g093350
Epidermis,Solyc03g093620
Epidermis,Solyc03g094060
Epidermis,Solyc03g095370
Epidermis,Solyc03g096640
Epidermis,Solyc03g096760
Epidermis,Solyc03g096870
Epidermis,Solyc03g097460
Epidermis,Solyc03g097750
Epidermis,Solyc03g097830
Epidermis,Solyc03g097850
Epidermis,Solyc03g019830
Epidermis,Solyc03g019690
Epidermis,Solyc03g111690
Epidermis,Solyc03g111793
Epidermis,Solyc03g111973
Epidermis,Solyc03g112650
Epidermis,Solyc03g113410
Epidermis,Solyc03g113750
Epidermis,Solyc03g114740
Epidermis,Solyc03g114820
Epidermis,Solyc03g114890
Epidermis,Solyc03g114970
Epidermis,Solyc03g115025
Epidermis,Solyc03g115030
Epidermis,Solyc03g115100
Epidermis,Solyc03g115190
Epidermis,Solyc03g115550
Epidermis,Solyc03g115660
Epidermis,Solyc03g115710
Epidermis,Solyc03g116840
Epidermis,Solyc03g117040
Epidermis,Solyc03g117210
Epidermis,Solyc03g117570
Epidermis,Solyc03g117650
Epidermis,Solyc03g118260
Epidermis,Solyc03g118930
Epidermis,Solyc03g119240
Epidermis,Solyc03g119430
Epidermis,Solyc03g120440
Epidermis,Solyc03g120650
Epidermis,Solyc03g121570
Epidermis,Solyc03g121660
Epidermis,Solyc03g122260
