"tissue","direction","database","term_id","term_name","pvalue","p_adjust","qvalue","gene_ratio","bg_ratio","count","gene_ids"
"leaf","down","GO_CC","GO:0048046","apoplast",0.00163428911615563,0.0212457585100231,0.0206436519935448,"6/82","43/2695",6,"543511/100147721/101262425/101263212/101261512/101254707"
"root","up","GO_BP","GO:0006979","response to oxidative stress",5.03194186832513e-15,6.46724962889267e-13,5.52834479050522e-13,"32/411","107/6939",32,"101260463/101249969/544293/101246312/101267376/101264583/101264282/543895/543896/101249975/101257228/101267754/101265511/101266098/101249612/101253684/101244951/101248973/101244376/101244668/101264425/101244289/101261825/101264739/543959/101246070/101246453/101266746/101248236/101268440/101268153/101248159"
"root","up","GO_BP","GO:0042744","hydrogen peroxide catabolic process",8.68087198509083e-15,6.46724962889267e-13,5.52834479050522e-13,"28/411","83/6939",28,"101260463/101249969/544293/101246312/101267376/101249975/101257228/101267754/101265511/101266098/101249612/101253684/101244951/101248973/101244376/101244668/101264425/101244289/101261825/101264739/543959/101246070/101246453/101266746/101248236/101268440/101268153/101248159"
"root","up","GO_BP","GO:0009873","ethylene-activated signaling pathway",2.02552604382276e-08,1.00601126843197e-06,8.59960180008961e-07,"14/411","39/6939",14,"101249592/544042/101261887/101262522/606712/101264530/101256610/101267832/101247159/101247461/101260767/543712/101245906/101266612"
"root","up","GO_BP","GO:0008299","isoprenoid biosynthetic process",0.000582862916877921,0.0152902717077825,0.0130704547978925,"6/411","19/6939",6,"101261961/778360/100134905/100134904/100134900/543552"
"root","up","GO_BP","GO:0006032","chitin catabolic process",0.000615715639239562,0.0152902717077825,0.0130704547978925,"5/411","13/6939",5,"544146/544149/101256086/101267358/101251136"
"root","up","GO_BP","GO:0016998","cell wall macromolecule catabolic process",0.000615715639239562,0.0152902717077825,0.0130704547978925,"5/411","13/6939",5,"544146/544149/101256086/101267358/101251136"
"root","up","GO_BP","GO:0008283","cell population proliferation",0.000789060937912475,0.0167957256784227,0.0143573493966029,"3/411","4/6939",3,"101268443/101267951/101262762"
"root","up","GO_BP","GO:0006850","pyruvate import into mitochondria",0.00188588146080849,0.0351245422075582,0.030025217994451,"3/411","5/6939",3,"101268113/101244623/101252040"
"root","up","GO_BP","GO:0009738","abscisic acid-activated signaling pathway",0.00410121360381463,0.0616790342389563,0.0527245718326648,"4/411","12/6939",4,"101266638/778321/101246666/101244652"
"root","up","GO_BP","GO:0016102","diterpenoid biosynthetic process",0.00413953249925881,0.0616790342389563,0.0527245718326648,"5/411","19/6939",5,"100820700/101264071/101264676/101261912/101249861"
"root","up","GO_BP","GO:0046148","pigment biosynthetic process",0.00603518885327367,0.0817493762852524,0.0698811340905372,"3/411","7/6939",3,"101263372/606710/101261257"
"root","up","GO_MF","GO:0020037","heme binding",4.77889538237033e-20,9.41442390326955e-18,7.69653677371222e-18,"67/593","324/9971",67,"101247849/101260463/101246092/101249969/544293/543675/100736436/101246312/101267376/101264583/101264282/543895/543896/101253849/101249975/101264773/101257228/101250559/101267754/101265511/101266098/101244259/101249612/109119848/101247511/101253684/101244951/101251277/101248973/101251676/101244376/101244668/101262919/101260536/101264425/101244289/101261825/101248402/101248306/101248404/101251394/101264739/543959/101246070/101253701/101246453/101248700/101266746/101247752/101248046/101248236/101248428/778326/101268440/101268153/101261765/101262063/101262367/101248159/101261478/100736473/101264887/101266902/100736487/101259027/101254668/101254669"
"root","up","GO_MF","GO:0004601","peroxidase activity",4.03838003413766e-15,3.9778043336256e-13,3.25195865906875e-13,"32/593","105/9971",32,"101260463/101249969/544293/101246312/101267376/101264583/101264282/543895/543896/101249975/101257228/101267754/101265511/101266098/101249612/101253684/101244951/101248973/101244376/101244668/101264425/101244289/101261825/101264739/543959/101246070/101246453/101266746/101248236/101268440/101268153/101248159"
"root","up","GO_MF","GO:0004497","monooxygenase activity",1.69231404696666e-06,0.000111128622417477,9.08505435739996e-05,"30/593","197/9971",30,"101247849/101246092/543675/100736436/101253849/101264773/101250559/101244259/109119848/101247511/101251277/101251676/101262919/101260536/101248402/101248306/101251394/101253701/101248700/101247752/101248046/101248428/101261765/101262063/101262367/101261478/101266902/100736487/101254668/101254669"
"root","up","GO_MF","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",9.42833890177842e-06,0.000372383446729801,0.000304433167778037,"30/593","214/9971",30,"101247849/101246092/543675/100736436/101253849/101264773/101250559/101244259/109119848/101247511/101251277/101251676/101262919/101260536/101248402/101248306/101251394/101253701/101248700/101247752/101248046/101248428/101261765/101262063/101262367/101261478/101266902/100736487/101254668/101254669"
"root","up","GO_MF","GO:0030527","structural constituent of chromatin",9.4513565159848e-06,0.000372383446729801,0.000304433167778037,"13/593","53/9971",13,"101250929/101260571/101245793/101250163/544080/104648016/101253792/101248710/101264975/101265996/101268740/101244346/101268556"
"root","up","GO_MF","GO:0009055","electron transfer activity",0.00010994691716561,0.00360992378027086,0.002951206723919,"11/593","49/9971",11,"101254836/101245101/101245111/101266215/101245166/101260771/101249124/101244913/101253552/101264887/101261196"
"root","up","GO_MF","GO:0005506","iron ion binding",0.000168469232814803,0.00474120555207374,0.00387605904070148,"30/593","249/9971",30,"101247849/101246092/543675/100736436/101253849/101264773/101250559/101244259/109119848/101247511/101251277/101251676/101262919/101260536/101248402/101248306/101251394/101253701/101248700/101247752/101248046/101248428/101261765/101262063/101262367/101261478/101266902/100736487/101254668/101254669"
"root","up","GO_MF","GO:0008061","chitin binding",0.000375163471579487,0.00893347193469426,0.00730334601126488,"4/593","7/9971",4,"101256086/101244390/101267358/101251136"
"root","up","GO_MF","GO:0004864","protein phosphatase inhibitor activity",0.000408128159453037,0.00893347193469426,0.00730334601126488,"5/593","12/9971",5,"101248483/101266638/778321/101246666/101244652"
"root","up","GO_MF","GO:0003993","acid phosphatase activity",0.000618229274927179,0.0112993631956751,0.00923752374532883,"7/593","26/9971",7,"101253467/544065/101264133/101266530/101255806/101252310/101262562"
"root","up","GO_MF","GO:0004568","chitinase activity",0.000630928909403178,0.0112993631956751,0.00923752374532883,"5/593","13/9971",5,"544146/544149/101256086/101267358/101251136"
"root","up","GO_MF","GO:0030170","pyridoxal phosphate binding",0.000719376427828218,0.0118097630235133,0.00965478889979978,"14/593","89/9971",14,"606304/101244469/101259235/100736464/101256090/101261729/101249664/101264847/101265757/778254/543983/101264863/101252842/101252470"
"root","up","GO_MF","GO:0008194","UDP-glycosyltransferase activity",0.00100764097917415,0.0151045312863415,0.0123483477788418,"14/593","92/9971",14,"101256719/101257511/101258120/101263384/101262709/101260725/101258876/101258571/101254417/138339525/101268547/101253864/101257246/101248655"
"root","up","GO_MF","GO:0010427","abscisic acid binding",0.00122676396234245,0.0151045312863415,0.0123483477788418,"4/593","9/9971",4,"101266638/778321/101246666/101244652"
"root","up","GO_MF","GO:0016717","oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",0.00122676396234245,0.0151045312863415,0.0123483477788418,"4/593","9/9971",4,"112941338/544203/101255474/138340542"
"root","up","GO_MF","GO:0038023","signaling receptor activity",0.00122676396234245,0.0151045312863415,0.0123483477788418,"4/593","9/9971",4,"101266638/778321/101246666/101244652"
"root","up","GO_MF","GO:0008171","O-methyltransferase activity",0.00182178018251569,0.0198249190020781,0.0162073876960617,"6/593","23/9971",6,"101260278/101265297/101265690/101265187/101261963/101253032"
"root","up","GO_MF","GO:0008483","transaminase activity",0.00184450656776131,0.0198249190020781,0.0162073876960617,"5/593","16/9971",5,"101244469/100736464/101264863/101252842/101252470"
"root","up","GO_MF","GO:0008083","growth factor activity",0.00191204802558113,0.0198249190020781,0.0162073876960617,"3/593","5/9971",3,"101268443/101267951/101262762"
"root","up","GO_MF","GO:0016491","oxidoreductase activity",0.00249760046440964,0.0246013645744349,0.0201122563712987,"31/593","306/9971",31,"101265773/101266071/543762/101268044/101265606/101263372/101252838/101268054/101262977/101268630/112941338/101263402/544203/101247232/101263535/101257095/606710/101261257/101260960/101264360/101251506/778326/101262269/104644298/101259903/543602/100736473/101252146/101255474/101252861/138340542"
"root","up","GO_MF","GO:0043565","sequence-specific DNA binding",0.00323000889318696,0.0303005596170396,0.0247714967748173,"20/593","173/9971",20,"101258801/101253158/101246982/544202/101261987/100529138/101266622/101266325/101257373/101252281/101251778/101248880/101265734/101249931/101267623/101262232/101243805/101254651/101265102/100271699"
"root","up","GO_MF","GO:0046982","protein heterodimerization activity",0.00470527593578459,0.042133607243162,0.034445321443782,"12/593","86/9971",12,"101250929/101260571/101245793/101250163/544080/104648016/101253792/101264975/101265996/101268740/101244346/101268556"
"root","up","GO_MF","GO:0004097","catechol oxidase activity",0.00611551912646611,0.0523807507788619,0.0428226282082066,"3/593","7/9971",3,"101263372/606710/101261257"
"root","up","GO_MF","GO:0010333","terpene synthase activity",0.00671176480727552,0.0550700932636608,0.0450212357432012,"5/593","21/9971",5,"100820700/101264071/101264676/101261912/101249861"
"root","up","GO_MF","GO:0003824","catalytic activity",0.00698859051569299,0.0550700932636608,0.0450212357432012,"27/593","275/9971",27,"606304/101244906/101256628/101257319/101265883/544267/101262767/101263563/101255673/101244469/543756/100736464/544209/101247725/101255711/101261729/101254613/104648641/543536/101263146/101252813/101264863/101261166/101243656/101257326/101252470/101267503"
"root","up","GO_MF","GO:0016830","carbon-carbon lyase activity",0.010060031988683,0.0715911208166688,0.0585276061178216,"5/593","23/9971",5,"101259235/101249664/101264847/101265757/778254"
"root","up","GO_MF","GO:0004604","phosphoadenylyl-sulfate reductase (thioredoxin) activity",0.0101753877302879,0.0715911208166688,0.0585276061178216,"2/593","3/9971",2,"101257319/544267"
"root","up","GO_MF","GO:0004764","shikimate 3-dehydrogenase (NADP+) activity",0.0101753877302879,0.0715911208166688,0.0585276061178216,"2/593","3/9971",2,"543548/101258500"
"root","up","GO_MF","GO:0016831","carboxy-lyase activity",0.012099850542683,0.0806925841811198,0.0659682894988583,"5/593","24/9971",5,"101249664/101264847/101265757/778254/100134900"
"root","up","GO_MF","GO:0004867","serine-type endopeptidase inhibitor activity",0.0126978178153031,0.0806925841811198,0.0659682894988583,"4/593","16/9971",4,"109119847/101255768/543953/101256437"
"root","up","GO_MF","GO:0035251","UDP-glucosyltransferase activity",0.0126978178153031,0.0806925841811198,0.0659682894988583,"4/593","16/9971",4,"101258120/101258876/101258571/101253864"
"root","up","GO_MF","GO:0030145","manganese ion binding",0.0144029363189233,0.0886680767133713,0.0724884623945809,"5/593","25/9971",5,"101253136/101253729/101264308/109121167/544017"
"root","up","GO_CC","GO:0005576","extracellular region",2.20933708900051e-07,6.84894497590158e-06,6.51173036758045e-06,"12/120","44/2695",12,"100134906/101268443/101267951/543794/543582/544035/101266043/101247647/101247353/101266151/101262762/543624"
"root","up","GO_CC","GO:0000786","nucleosome",2.23620215449523e-06,3.46611333946761e-05,3.29545580662455e-05,"13/120","63/2695",13,"101250929/101260571/101245793/101250163/544080/104648016/101253792/101248710/101264975/101265996/101268740/101244346/101268556"
"root","up","GO_CC","GO:0005743","mitochondrial inner membrane",0.00566839573827383,0.0585734226288295,0.0556895019900586,"4/120","17/2695",4,"101247875/101268113/101244623/101252040"
"root","down","GO_BP","GO:0009451","RNA modification",0.000446604335292361,0.0184439883843277,0.0171811722257361,"13/207","148/6939",13,"101258616/101246497/101245419/101263591/101256579/101265633/101265126/101245160/138349167/101254106/101266956/101247863/101244753"
"root","down","GO_BP","GO:0006996","organelle organization",0.000489663408433478,0.0184439883843277,0.0171811722257361,"3/207","6/6939",3,"101251035/101267609/101261719"
"root","down","GO_BP","GO:0009773","photosynthetic electron transport in photosystem I",0.000489663408433478,0.0184439883843277,0.0171811722257361,"3/207","6/6939",3,"101247416/101243784/101251312"
"root","down","GO_BP","GO:0005978","glycogen biosynthetic process",0.000838087768792474,0.0236759794683874,0.0220549412840125,"3/207","7/6939",3,"544039/544283/101268420"
"root","down","GO_CC","GO:0010598","NAD(P)H dehydrogenase complex (plastoquinone)",0.00364319820068233,0.0293336352293125,0.0192984442298108,"2/68","4/2695",2,"101247416/101243784"
"root","down","GO_CC","GO:0009507","chloroplast",0.00366670440366406,0.0293336352293125,0.0192984442298108,"3/68","13/2695",3,"101247416/101245683/101266364"
"root","down","GO_CC","GO:0000148","1,3-beta-D-glucan synthase complex",0.00881412503156684,0.0470086668350231,0.0309267544967257,"2/68","6/2695",2,"101254331/101258056"
"root","down","GO_CC","GO:0005694","chromosome",0.0121396226374022,0.048558490549609,0.0319463753615849,"2/68","7/2695",2,"101251225/101253591"
"root","down","GO_CC","GO:0009535","chloroplast thylakoid membrane",0.0247726242632264,0.0777534405683397,0.0511535793212761,"2/68","10/2695",2,"101243784/101251312"
"root","down","GO_CC","GO:0005618","cell wall",0.0291575402131274,0.0777534405683397,0.0511535793212761,"3/68","27/2695",3,"778213/101261784/544101"
"leaf","up","KEGG","sly00940","Phenylpropanoid biosynthesis",2.95400095486238e-10,3.36756108854312e-08,2.17663228253018e-08,"18/184","179/11892",18,"101262063/544249/101246092/544293/101261765/101248210/101266812/101262919/101254287/101244220/101265690/101243656/101265187/112940333/101268153/101258529/101265977/101261260"
"leaf","up","KEGG","sly00945","Stilbenoid, diarylheptanoid and gingerol biosynthesis",1.13429210916084e-09,6.46546502221677e-08,4.17897092848729e-08,"8/184","23/11892",8,"101262063/544249/101246092/101261765/101262919/101265690/101265187/101265977"
"leaf","up","KEGG","sly00941","Flavonoid biosynthesis",7.42203194138674e-08,2.82037213772696e-06,1.82295521367394e-06,"8/184","37/11892",8,"101262063/544249/101246092/101261765/101262919/101265690/101265187/101265977"
"leaf","up","KEGG","sly01230","Biosynthesis of amino acids",2.23052077332824e-06,6.35698420398548e-05,4.10885405613097e-05,"15/184","226/11892",15,"544154/544153/101254553/101253940/101267392/544302/101259725/101251907/101248455/101258500/101259361/101256147/101254848/101247331/101253875"
"leaf","up","KEGG","sly04016","MAPK signaling pathway - plant",9.2309221113929e-06,0.000210465024139758,0.00013603464164158,"13/184","193/11892",13,"101256856/778264/101256653/101259509/101263741/101267332/101251432/101250944/543990/101248690/101244640/606712/101266437"
"leaf","up","KEGG","sly04075","Plant hormone signal transduction",4.66950235263859e-05,0.000887205447001331,0.000573447657341581,"19/184","437/11892",19,"101256856/101055553/101266791/101055555/101263741/101253938/101256200/543542/100736445/101251432/101250944/543543/101259435/101260027/101248690/543748/543722/101263505/606712"
"leaf","up","KEGG","sly00670","One carbon pool by folate",0.000356169423645389,0.0052995411638084,0.0034253728667275,"5/184","40/11892",5,"101253497/544302/101259725/101255258/101246429"
"leaf","up","KEGG","sly00996","Biosynthesis of various alkaloids",0.000403672698320359,0.0052995411638084,0.0034253728667275,"3/184","10/11892",3,"101255011/544002/543874"
"leaf","up","KEGG","sly01212","Fatty acid metabolism",0.000418384828721716,0.0052995411638084,0.0034253728667275,"7/184","88/11892",7,"101262830/112941338/101256767/101255474/101251311/101252237/101247598"
"leaf","up","KEGG","sly01240","Biosynthesis of cofactors",0.000511271743484353,0.00582849787572162,0.00376726547830576,"12/184","250/11892",12,"101263146/101254553/101251311/101252237/544302/101259725/544238/101258297/101246429/100191133/101256030/101253875"
"leaf","up","KEGG","sly00400","Phenylalanine, tyrosine and tryptophan biosynthesis",0.000922560246092535,0.009247583917536,0.00597720105473241,"5/184","49/11892",5,"544154/544153/101258500/101259361/101247331"
"leaf","up","KEGG","sly00650","Butanoate metabolism",0.000973429886056421,0.009247583917536,0.00597720105473241,"4/184","29/11892",4,"101262830/544258/100134904/543874"
"leaf","up","KEGG","sly00350","Tyrosine metabolism",0.0013209430655801,0.011583654575087,0.00748712668749852,"5/184","53/11892",5,"101260960/544074/101252525/606710/101259357"
"leaf","up","KEGG","sly00620","Pyruvate metabolism",0.00149702938527903,0.0121900964229864,0.00787910202778438,"7/184","109/11892",7,"101260960/101262830/544074/543522/101251907/101256147/101246429"
"leaf","up","KEGG","sly00900","Terpenoid backbone biosynthesis",0.00183389108008191,0.0131574894142292,0.0085043791227705,"5/184","57/11892",5,"101262830/101261961/100134900/100134904/778360"
"leaf","up","KEGG","sly01200","Carbon metabolism",0.00184666518094445,0.0131574894142292,0.0085043791227705,"12/184","290/11892",12,"101262830/543522/101254553/101253940/101267392/101259725/101255258/101248455/543990/101256147/101254848/101246429"
"leaf","up","KEGG","sly00062","Fatty acid elongation",0.00199650917644909,0.0133883556538351,0.00865360014559977,"4/184","35/11892",4,"101267160/101247598/101246151/101268510"
"leaf","up","KEGG","sly00270","Cysteine and methionine metabolism",0.00235883549911417,0.0149392914943897,0.00965605175075975,"7/184","118/11892",7,"543800/101254553/101253940/544285/544302/101254848/101253875"
"leaf","up","KEGG","sly00073","Cutin, suberine and wax biosynthesis",0.00359331128299056,0.0185211324069414,0.0119711843812179,"4/184","41/11892",4,"101248686/101257532/101267893/101267934"
"leaf","up","KEGG","sly00460","Cyanoamino acid metabolism",0.00359331128299056,0.0185211324069414,0.0119711843812179,"4/184","41/11892",4,"101253940/543698/101259725/101250409"
"leaf","up","KEGG","sly03460","Fanconi anemia pathway",0.00359331128299056,0.0185211324069414,0.0119711843812179,"4/184","41/11892",4,"544003/101255870/101260976/101255547"
"leaf","up","KEGG","sly00260","Glycine, serine and threonine metabolism",0.00373671969613731,0.0185211324069414,0.0119711843812179,"5/184","67/11892",5,"101254553/101253497/101259725/101254848/101246429"
"leaf","up","KEGG","sly00280","Valine, leucine and isoleucine degradation",0.00373671969613731,0.0185211324069414,0.0119711843812179,"5/184","67/11892",5,"101262830/778303/100134904/101246429/101253875"
"leaf","up","KEGG","sly00603","Glycosphingolipid biosynthesis - globo and isoglobo series",0.00798052989457095,0.037907516999212,0.0245016268692968,"2/184","9/11892",2,"101249542/101253853"
"leaf","up","KEGG","sly00630","Glyoxylate and dicarboxylate metabolism",0.00834033982182368,0.038031949587516,0.0245820542116909,"5/184","81/11892",5,"101262830/101259725/101248455/543990/101246429"
"leaf","up","KEGG","sly04626","Plant-pathogen interaction",0.011460878473236,0.0488968020164141,0.0316045811740442,"9/184","237/11892",9,"543900/101259509/101249567/101256200/101267160/543947/778272/101246151/101268510"
"leaf","up","KEGG","sly00380","Tryptophan metabolism",0.0115808215302033,0.0488968020164141,0.0316045811740442,"4/184","57/11892",4,"101262830/543990/101246429/101265297"
"leaf","up","KEGG","sly01210","2-Oxocarboxylic acid metabolism",0.0122463455866728,0.0498601213171677,0.0322272252280862,"5/184","89/11892",5,"778303/101251907/101248455/101246429/101253875"
"leaf","up","KEGG","sly00360","Phenylalanine metabolism",0.0137963418624208,0.05218977409987,0.0337330026499621,"4/184","60/11892",4,"101244220/101243656/101264847/101265757"
"leaf","up","KEGG","sly03440","Homologous recombination",0.0137963418624208,0.05218977409987,0.0337330026499621,"4/184","60/11892",4,"544003/101255870/101260976/101255547"
"leaf","up","KEGG","sly00590","Arachidonic acid metabolism",0.0141919561148769,0.05218977409987,0.0337330026499621,"2/184","12/11892",2,"101250409/101252788"
"leaf","up","KEGG","sly01040","Biosynthesis of unsaturated fatty acids",0.0153376363534926,0.0546403295093174,0.0353169258139633,"3/184","34/11892",3,"112941338/101256767/101255474"
"leaf","up","KEGG","sly00010","Glycolysis / Gluconeogenesis",0.0172244471054968,0.0595026354553526,0.0384596905066915,"6/184","133/11892",6,"101246495/101260960/544074/101267392/101256147/101246429"
"leaf","up","KEGG","sly00910","Nitrogen metabolism",0.0178946497151651,0.0599997078684947,0.0387809746149088,"3/184","36/11892",3,"778326/101268239/101259260"
"leaf","up","KEGG","sly00100","Steroid biosynthesis",0.0206745102619456,0.0673398334246229,0.0435252847619908,"3/184","38/11892",3,"101249884/100147715/101264777"
"leaf","up","KEGG","sly00905","Brassinosteroid biosynthesis",0.0219031810238872,0.0693600732423095,0.0448310722711142,"2/184","15/11892",2,"543801/100037489"
"leaf","up","KEGG","sly03030","DNA replication",0.0286023506078934,0.0881261613324283,0.0569605844253922,"3/184","43/11892",3,"101268250/101255870/101055576"
"leaf","up","KEGG","sly00591","Linoleic acid metabolism",0.030965615449481,0.0915716954194543,0.0591876147678837,"2/184","18/11892",2,"101263535/101252788"
"leaf","up","KEGG","sly02010","ABC transporters",0.031327158959287,0.0915716954194543,0.0591876147678837,"4/184","77/11892",4,"101244486/101260345/101260177/101247843"
"leaf","up","KEGG","sly00780","Biotin metabolism",0.0342625129973675,0.0976481620424975,0.0631151555214665,"2/184","19/11892",2,"101251311/101252237"
"leaf","down","KEGG","sly00052","Galactose metabolism",1.20779658699769e-06,0.000100247116720808,6.61109710777682e-05,"8/144","66/11892",8,"100316891/101244339/101257623/101263843/101253771/101268121/101254509/101261450"
"leaf","down","KEGG","sly04981","Folate transport and metabolism",1.04039029239442e-05,0.000431761971343686,0.000284738395813211,"6/144","42/11892",6,"101252315/101251816/101254989/101248317/101267994/101264742"
"leaf","down","KEGG","sly04712","Circadian rhythm - plant",2.02625356002812e-05,0.000560596818274446,0.000369702403934955,"6/144","47/11892",6,"101267355/101261662/101249991/101254900/778253/778294"
"leaf","down","KEGG","sly04016","MAPK signaling pathway - plant",0.000117268145160873,0.00243331401208812,0.00160472198641195,"10/144","193/11892",10,"101244003/100316895/606299/543571/101256105/544147/606304/101265257/101249467/101246907"
"leaf","down","KEGG","sly00010","Glycolysis / Gluconeogenesis",0.000208535208176553,0.00346168445573078,0.00228291175266963,"8/144","133/11892",8,"101253771/101257775/101267346/101268121/101255458/101249787/101256911/101246870"
