"tissue","direction","database","term_id","term_name","pvalue","p_adjust","qvalue","gene_ratio","bg_ratio","count","gene_ids"
"leaf","up","GO_MF","GO:0016788","hydrolase activity, acting on ester bonds",2.94340715795122e-06,0.000251017487085054,0.000211383147018993,"15/447","82/9971",15,"101251962/101253754/101257273/101257443/101246731/101245490/101244365/101244636/101249884/112941537/101254153/101250517/101262291/101252884/101250696"
"leaf","up","GO_MF","GO:0020037","heme binding",3.13771858856318e-06,0.000251017487085054,0.000211383147018993,"34/447","324/9971",34,"101253701/101265084/101262063/100736435/543675/101246092/544293/101261765/101254668/101247511/101253684/109119848/101251277/101254669/101252644/101248404/101262919/101265070/778326/101257532/101267893/101248306/543990/101261488/101245278/112940333/101266963/101268153/101255011/101258529/100037489/101245153/101261260/101248700"
"leaf","up","GO_MF","GO:0004497","monooxygenase activity",7.62110699878139e-06,0.000406459039935007,0.000342281296787375,"24/447","197/9971",24,"101253701/101265084/101262063/543675/101246092/101261765/101254668/101247511/109119848/101251277/101254669/101252644/101262919/101265070/101257532/101267893/101248306/101261488/101245278/101266963/101255011/100037489/101245153/101248700"
"leaf","up","GO_MF","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",3.08597330047983e-05,0.00123438932019193,0.00103948574331952,"24/447","214/9971",24,"101253701/101265084/101262063/543675/101246092/101261765/101254668/101247511/109119848/101251277/101254669/101252644/101262919/101265070/101257532/101267893/101248306/101261488/101245278/101266963/101255011/100037489/101245153/101248700"
"leaf","up","GO_MF","GO:0005506","iron ion binding",5.02423727104008e-05,0.00160775592673283,0.00135389972777501,"26/447","249/9971",26,"101253701/101265084/101262063/543675/101246092/101261765/101254668/101247511/109119848/101251277/101254669/101252644/101262919/101265070/101257532/101267893/101248306/101267934/101261488/101245278/101266963/101255011/100037489/101245153/101264777/101248700"
"leaf","up","GO_MF","GO:0010427","abscisic acid binding",0.000419449016646282,0.009154050006656,0.00770867368981558,"4/447","9/9971",4,"101244652/101246666/778321/101259244"
"leaf","up","GO_MF","GO:0038023","signaling receptor activity",0.000419449016646282,0.009154050006656,0.00770867368981558,"4/447","9/9971",4,"101244652/101246666/778321/101259244"
"leaf","up","GO_MF","GO:0004866","endopeptidase inhibitor activity",0.000512693332768976,0.009154050006656,0.00770867368981558,"5/447","16/9971",5,"544286/544087/544001/101244265/101261997"
"leaf","up","GO_MF","GO:0030527","structural constituent of chromatin",0.0005149153128744,0.009154050006656,0.00770867368981558,"9/447","53/9971",9,"101265669/101250929/101245495/101250163/101245793/544080/101260571/101268556/101264975"
"leaf","up","GO_MF","GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups",0.00146786676253917,0.021522787787664,0.0181244528738223,"9/447","61/9971",9,"101261878/101262830/101266542/101251311/101267160/544307/543835/101246151/101268510"
"leaf","up","GO_MF","GO:0004864","protein phosphatase inhibitor activity",0.0014796916604019,0.021522787787664,0.0181244528738223,"4/447","12/9971",4,"101244652/101246666/778321/101259244"
"leaf","up","GO_MF","GO:0008236","serine-type peptidase activity",0.00179743299827969,0.0239657733103958,0.0201817038403333,"10/447","75/9971",10,"543726/101255226/544118/101257599/108348021/101257301/104647188/101252447/778308/101253643"
"leaf","up","GO_MF","GO:0004857","enzyme inhibitor activity",0.00407771844175776,0.050187303898557,0.0422629927566796,"7/447","46/9971",7,"101250588/101248367/101248953/101266668/101260197/101246884/101248554"
"leaf","up","GO_MF","GO:0016630","protochlorophyllide reductase activity",0.00583726514999459,0.0654927732571638,0.0551518090586643,"2/447","3/9971",2,"101248079/101244717"
"leaf","up","GO_MF","GO:0016717","oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",0.00613994749285911,0.0654927732571638,0.0551518090586643,"3/447","9/9971",3,"112941338/101256767/101255474"
"leaf","up","GO_CC","GO:0000786","nucleosome",8.08014850183182e-05,0.00153522821534804,0.00153097550561024,"9/81","63/2695",9,"101265669/101250929/101245495/101250163/101245793/544080/101260571/101268556/101264975"
"leaf","down","GO_BP","GO:0055085","transmembrane transport",0.000560593071953109,0.0477224445157461,0.0430578446758612,"29/230","460/6939",29,"101255600/101249834/101253972/101252338/101268119/101253320/101256256/101267799/778261/101266436/104644300/101250924/101249848/101264883/101244014/101263942/101257817/101254554/101254912/101267631/101245180/101245070/101246498/543951/101262753/100529106/101246241/101246667/101261239"
"leaf","down","GO_BP","GO:0016036","cellular response to phosphate starvation",0.00113970831812115,0.0477224445157461,0.0430578446758612,"3/230","7/6939",3,"101256919/101244953/101244416"
"leaf","down","GO_BP","GO:0046274","lignin catabolic process",0.00120308683653142,0.0477224445157461,0.0430578446758612,"4/230","15/6939",4,"100147721/101262425/101263212/101261512"
"leaf","down","GO_BP","GO:0009415","response to water",0.00321019598752578,0.095503330628892,0.0861684186125341,"2/230","3/6939",2,"544056/101248072"
"leaf","down","GO_MF","GO:0043565","sequence-specific DNA binding",0.000342876937610143,0.0507814477513323,0.044996219526497,"16/347","173/9971",16,"101264826/101262661/101249882/101266046/101260537/101256052/101252588/101266622/101265313/101248097/101246806/101247484/101251289/101245481/101266295/101248880"
"leaf","down","GO_MF","GO:0016887","ATP hydrolysis activity",0.000642803136092814,0.0507814477513323,0.044996219526497,"20/347","257/9971",20,"101256375/100134914/101250725/101256256/101264183/101252315/101267029/101055596/101255164/101254583/100736433/101260388/101254989/101249777/101264167/101248317/101252822/101247697/101267994/101264742"
"leaf","down","GO_MF","GO:0005507","copper ion binding",0.0011019699994,0.0573073660167556,0.050778678749024,"7/347","47/9971",7,"101251411/101263934/100147721/101262425/101263212/101261512/101253199"
"leaf","down","GO_MF","GO:0052716","hydroquinone:oxygen oxidoreductase activity",0.00145081939282926,0.0573073660167556,0.050778678749024,"4/347","15/9971",4,"100147721/101262425/101263212/101261512"
"leaf","down","GO_MF","GO:0004311","geranylgeranyl diphosphate synthase activity",0.00353961252807388,0.0932097965726122,0.0825909589883906,"2/347","3/9971",2,"543964/543988"
"leaf","down","GO_MF","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",0.00353961252807388,0.0932097965726122,0.0825909589883906,"2/347","3/9971",2,"101247812/101250560"
