"gene_id","direction"
"Solyc01g009430.3","up_both_tissues"
"Solyc01g100660.3","up_both_tissues"
"Solyc01g109100.2","up_both_tissues"
"Solyc01g109460.3","up_both_tissues"
"Solyc02g076800.1","up_both_tissues"
"Solyc02g081180.2","up_both_tissues"
"Solyc02g083250.3","up_both_tissues"
"Solyc02g092550.3","up_both_tissues"
"Solyc03g005980.3","up_both_tissues"
"Solyc03g043900.1","up_both_tissues"
"Solyc03g082510.1","up_both_tissues"
"Solyc04g005100.3","up_both_tissues"
"Solyc04g007075.1","up_both_tissues"
"Solyc04g014500.3","up_both_tissues"
"Solyc05g005520.1","up_both_tissues"
"Solyc05g009230.2","up_both_tissues"
"Solyc06g051060.3","up_both_tissues"
"Solyc06g064610.1","up_both_tissues"
"Solyc06g074800.1","up_both_tissues"
"Solyc07g005630.3","up_both_tissues"
"Solyc07g043130.3","up_both_tissues"
"Solyc07g053140.3","up_both_tissues"
"Solyc07g053900.2","up_both_tissues"
"Solyc08g077910.3","up_both_tissues"
"Solyc08g078950.3","up_both_tissues"
"Solyc09g066360.1","up_both_tissues"
"Solyc10g076550.2","up_both_tissues"
"Solyc10g083690.3","up_both_tissues"
"Solyc10g083700.3","up_both_tissues"
"Solyc11g005480.2","up_both_tissues"
"Solyc11g007190.1","up_both_tissues"
"Solyc12g005820.2","up_both_tissues"
"Solyc12g009480.2","up_both_tissues"
"Solyc12g010940.1","up_both_tissues"
"Solyc12g096500.2","up_both_tissues"
"Solyc12g096570.1","up_both_tissues"
"Solyc12g096870.1","up_both_tissues"
