"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","shrunk_log2FoldChange"
"ENSRNA050029505",12.1052069809341,4.17268871052343,2.94280099259672,1.41793098514673,0.15621091503445,0.514123005315134,0.0865254992629404
"ENSRNA050029543",15.0706550751247,-0.692055484610274,1.09152729738026,-0.634024899121855,0.526064572724408,0.840689202904713,-0.0556252462137859
"ENSRNA050029547",30.1316379495957,-0.0856433443392453,0.954155807853831,-0.0897582382607739,0.928479335220166,0.981705406456804,-0.00741009340192834
"ENSRNA050029557",22.7123326482931,-0.156753061330614,1.03802792175659,-0.151010447835884,0.879967474234467,0.974853175330831,-0.0125629425862109
"ENSRNA050029620",18.5794422001586,0.0520242289754332,0.852336948873456,0.061037162643476,NA,NA,0.00494992024691545
"ENSRNA050029622",18.5682063687216,0.592972288854041,1.11272544670232,0.532900807302804,0.594102246362198,0.872699125537212,0.0459400031711832
"ENSRNA050029624",11.8028197713681,0.944084765130874,1.18645984229228,0.795715734724633,0.426197279152186,0.783036104634066,0.0713657307918022
"ENSRNA050029646",670.057672033285,0.182039226731194,0.776269309281299,0.234505247798259,0.814592759611119,0.953462319161354,0.0187659733633109
"ENSRNA050029649",7115.97533404944,0.520337356576946,0.816976609887593,0.636906063502282,0.524186032942341,0.840031233931016,0.0548722705757036
"ENSRNA050029653",13845.7610947629,0.299358327666128,0.817779536939644,0.366062384963079,0.714318524803755,0.918048066200697,0.0300912933984021
"ENSRNA050029658",182.587363261073,1.75662625291389,0.947135438765552,1.85467271207103,0.0636429777809859,0.31587330764695,0.261145212566438
"ENSRNA050029699",14.3065916174617,-0.313905881772096,0.665832102229708,-0.471449004517658,0.637320128143638,0.892267853069492,-0.0370190611527567
"ENSRNA050029701",5.69874792518473,-1.0086846225803,0.670354177208627,-1.50470401598822,0.132400190135666,0.471247360906782,-0.175639091233304
"ENSRNA050029703",11.3722490781549,0.354405830907145,1.08742928803355,0.325911610811985,0.744491230764309,0.93048568134652,0.0274400808656257
"ENSRNA050029732",136854.28101712,0.308740843649745,0.752725178318851,0.410164097791032,0.681685575473359,0.907778914290502,0.0332147805725615
"ENSRNA050029735",28636.7349312654,0.0421200178717042,0.782464388679039,0.0538299486610649,0.95707064852326,0.987962068454993,0.00427699810976687
"ENSRNA050029737",11401.8852677299,0.48964003941069,0.776721011925216,0.630393708800339,0.528437025917402,0.84137313864007,0.0536518456324139
"ENSRNA050029739",360.842388368023,0.232419017493535,0.769694853953392,0.301962545676067,0.76268061516422,0.936757347604379,0.0242650072140554
"ENSRNA050029741",9463.59809467912,1.51764900475916,1.02368050753378,1.48254166567598,0.138196225693693,0.482208816696745,0.170008404521519
"ENSRNA050029745",536.894189588145,0.137752473960159,0.759378841261769,0.181401517233839,0.856052428055262,0.967514346267655,0.0143681860074143
"ENSRNA050029789",290.516156289402,1.37336120430189,1.13873550739329,1.20604055584926,NA,NA,0.121629410904773
"ENSRNA050029812",1946.53617277489,1.84093075696959,1.2097049874989,1.52180141108269,NA,NA,0.169123603574489
"ENSRNA050029894",72380.6092056212,0.0503084206808438,0.78238589005369,0.0643012883033863,0.948730327661978,0.986452729244077,0.00510997477579552
"ENSRNA050029895",15870.1990723571,0.0531524390916453,0.765009774071141,0.0694794248298093,0.944608009677037,0.985718574482316,0.00548714622913817
"ENSRNA050029897",41.5131911552566,1.61381933407417,1.07207383594946,1.50532480129498,0.132240591875632,0.470954648067488,0.172493152171224
"ENSRNA050029898",19.6200084452078,-2.55864370915568,1.09087981328638,-2.3454863478017,0.0190022744829342,0.145306636707437,-0.419584242892332
