"set_name","n_solyc","n_entrez","mapping_rate"
"leaf_light_up",1011,604,59.7
"leaf_light_down",1303,841,64.5
"leaf_int_pos",2502,1675,66.9
"leaf_int_neg",2540,1573,61.9
"root_light_up",289,173,59.9
"root_light_down",446,265,59.4
"root_int_pos",32,16,50
"root_int_neg",12,9,75
"comb_light_up",302,192,63.6
"comb_light_down",158,116,73.4
"comb_int_pos",725,498,68.7
"comb_int_neg",1175,715,60.9
