"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","gene_set"
"GO:0009873","ethylene-activated signaling pathway","9/254","39/6939",0.230769230769231,6.30436099333737,6.47476679959042,8.28061537333892e-06,0.00101851569092069,0.000906509472449735,"101247461/101266612/101266802/101263899/101251084/101263697/101055565/101245906/543712",9,"leaf_light_up"
"GO:0009909","regulation of flower development","5/254","11/6939",0.454545454545455,12.4176807444524,7.38675336448393,2.43634020263696e-05,0.00149834922462173,0.00133357568986444,"101264977/101254368/101245415/778253/101256897",5,"leaf_light_up"
"GO:0016036","cellular response to phosphate starvation","4/254","7/6939",0.571428571428571,15.6107986501687,7.53836217691898,5.62602103569996e-05,0.00230666862463698,0.00205300416741332,"101249511/101257836/101244416/101245125",4,"leaf_light_up"
"GO:0009765","photosynthesis, light harvesting","9/375","25/6939",0.36,6.66144,6.77767470766805,3.37085962950683e-06,0.000522483242573559,0.000500306534484698,"101265617/101253380/101256131/101243766/101267774/101256006/543976/101268123/101268669",9,"leaf_light_down"
"GO:0006508","proteolysis","34/375","286/6939",0.118881118881119,2.19977622377622,4.95248309125962,9.92748016755676e-06,0.000769379712985649,0.000736723528223949,"101257301/101248557/101257599/108348021/101261332/101259262/101266341/101264466/101258673/101249528/101244564/101252622/101263441/101257896/543726/543614/101252505/101246125/101267480/101261813/101244095/778274/101250880/101247980/778273/101251744/104647188/101244702/101246394/101255349/101266949/101055590/778308/544144",34,"leaf_light_down"
"GO:0006559","L-phenylalanine catabolic process","4/375","6/6939",0.666666666666667,12.336,6.63931627913132,0.000115471694585976,0.00596603755360875,0.00571281015320091,"101243656/101249824/101243631/101244220",4,"leaf_light_down"
"GO:0019752","carboxylic acid metabolic process","8/375","32/6939",0.25,4.626,4.91367645192943,0.000225710789067557,0.00874629307636783,0.00837505822592777,"101251907/778256/101262912/101264847/544276/100147722/778254/101265757",8,"leaf_light_down"
"GO:2000028","regulation of photoperiodism, flowering","3/375","4/6939",0.75,13.878,6.15748948874994,0.000601365193709856,0.0186423210050055,0.0178510510132821,"101255788/101258346/101268174",3,"leaf_light_down"
"GO:0051301","cell division","3/375","6/6939",0.5,9.252,4.83306615520392,0.00277072914066434,0.0685625399781285,0.0656524151912809,"101258564/101055537/100301933",3,"leaf_light_down"
"GO:0005975","carbohydrate metabolic process","28/375","300/6939",0.0933333333333333,1.72704,3.07691921425388,0.0030963727732058,0.0685625399781285,0.0656524151912809,"101248295/101267848/101252064/543610/543609/101249056/101259605/543736/101258345/100500729/101254849/101249542/544101/101252862/101253853/104645427/101259149/101247513/101249166/101253788/101253852/101263088/543515/101261871/543999/101055561/101268420/543698",28,"leaf_light_down"
"GO:0006012","galactose metabolic process","3/375","7/6939",0.428571428571429,7.93028571428571,4.38449296938224,0.00465531850714207,0.0901967960758777,0.0863684091456622,"101267552/101267862/101266745",3,"leaf_light_down"
"GO:0030527","structural constituent of chromatin","15/568","53/9971",0.283018867924528,4.96827664097794,7.11895671526323,1.49078726016519e-07,3.13065324634689e-05,2.98157452033037e-05,"101265669/101250929/101253224/101267861/544080/544081/101248209/101252889/101252991/101256351/101256941/101260642/138349012/138349013/138349082",15,"leaf_light_down"
"GO:0046982","protein heterodimerization activity","16/568","86/9971",0.186046511627907,3.26596790042581,5.18684381875915,2.31996548898959e-05,0.00243596376343907,0.00231996548898959,"101265669/101258170/101250929/101253224/101267861/544080/544081/101248209/101252889/101252991/101256351/101256941/101260642/138349012/138349013/138349082",16,"leaf_light_down"
"GO:0016841","ammonia-lyase activity","4/568","5/9971",0.8,14.043661971831,7.16989218566209,4.97683938729739e-05,0.00348378757110817,0.00331789292486492,"101243656/101249824/101243631/101244220",4,"leaf_light_down"
"GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","23/568","176/9971",0.130681818181818,2.29406410051216,4.25694885139999,0.00015843298957294,0.00722120742591764,0.00687734040563585,"101267848/543610/543609/101249056/101259605/543736/101258345/101254849/101249542/544101/101264677/101253853/104645427/101259149/101247513/101253788/101253852/543515/101261871/543999/101055561/101268420/543698",23,"leaf_light_down"
"GO:0016630","protochlorophyllide reductase activity","3/568","3/9971",1,17.5545774647887,7.04795693997003,0.000183934143873018,0.00722120742591764,0.00687734040563585,"101248079/543647/101244717",3,"leaf_light_down"
"GO:0016830","carbon-carbon lyase activity","7/568","23/9971",0.304347826086957,5.34269748928353,5.12441314178584,0.000206320212169076,0.00722120742591764,0.00687734040563585,"778256/101262912/101264847/101264726/100147722/778254/101265757",7,"leaf_light_down"
"GO:0008234","cysteine-type peptidase activity","7/568","28/9971",0.25,4.38864436619718,4.41300904421951,0.000776938557213398,0.023308156716402,0.0221982444918114,"101249528/543614/101252505/101247980/778273/101251744/544144",7,"leaf_light_down"
"GO:0004190","aspartic-type endopeptidase activity","10/568","55/9971",0.181818181818182,3.19174135723431,4.00581526619364,0.000949627332634523,0.0249277174816562,0.0237406833158631,"101248557/101261332/101266341/101264466/101258673/101252622/101246125/101261813/101244095/101266949",10,"leaf_light_down"
"GO:0070008","serine-type exopeptidase activity","3/568","5/9971",0.6,10.5327464788732,5.23999814119506,0.00168649653906619,0.0393515859115445,0.0374777008681376,"101259262/101244702/101246394",3,"leaf_light_down"
"GO:0000786","nucleosome","15/137","63/2695",0.238095238095238,4.68369829683698,6.84573675374323,2.74321023182991e-07,8.50395171867271e-06,8.50395171867271e-06,"101265669/101250929/101253224/101267861/544080/544081/101248209/101252889/101252991/101256351/101256941/101260642/138349012/138349013/138349082",15,"leaf_light_down"
"GO:0006508","proteolysis","53/773","286/6939",0.185314685314685,1.66351694876921,4.05724664917807,0.000107948094000747,0.0255836982781769,0.0238622102527966,"101257301/101248557/101257599/108348021/101261332/101259262/101266341/101264466/101258673/101244564/101268338/101255596/101257896/101260269/101267900/543966/101261866/543726/101265168/543727/101250430/101246777/543614/101249390/101252505/101246125/101267480/101261813/101244095/778274/101244399/101250880/101247995/101247980/101258820/101244548/778273/101251598/101261760/101263581/101251744/104647188/101244702/101246394/101255349/101266949/101055590/544296/101261173/778308/101264872/544144/101256833",53,"leaf_int_pos"
