"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Biosynthesis of other secondary metabolites","sly00940","Phenylpropanoid biosynthesis","18/184","179/11892",0.100558659217877,6.49914986640758,9.29318844048429,2.95400095486238e-10,3.36756108854312e-08,2.17663228253018e-08,"101262063/544249/101246092/544293/101261765/101248210/101266812/101262919/101254287/101244220/101265690/101243656/101265187/112940333/101268153/101258529/101265977/101261260",18
"Metabolism","Biosynthesis of other secondary metabolites","sly00945","Stilbenoid, diarylheptanoid and gingerol biosynthesis","8/184","23/11892",0.347826086956522,22.4801512287335,12.9262018058125,1.13429210916084e-09,6.46546502221677e-08,4.17897092848729e-08,"101262063/544249/101246092/101261765/101262919/101265690/101265187/101265977",8
"Metabolism","Biosynthesis of other secondary metabolites","sly00941","Flavonoid biosynthesis","8/184","37/11892",0.216216216216216,13.9741480611046,9.9084489657124,7.42203194138674e-08,2.82037213772696e-06,1.82295521367394e-06,"101262063/544249/101246092/101261765/101262919/101265690/101265187/101265977",8
"Metabolism","Global and overview maps","sly01230","Biosynthesis of amino acids","15/184","226/11892",0.0663716814159292,4.28963062716429,6.25917528731375,2.23052077332824e-06,6.35698420398548e-05,4.10885405613097e-05,"544154/544153/101254553/101253940/101267392/544302/101259725/101251907/101248455/101258500/101259361/101256147/101254848/101247331/101253875",15
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","13/184","193/11892",0.0673575129533679,4.35334534805136,5.88788488209607,9.2309221113929e-06,0.000210465024139758,0.00013603464164158,"101256856/778264/101256653/101259509/101263741/101267332/101251432/101250944/543990/101248690/101244640/606712/101266437",13
"Environmental Information Processing","Signal transduction","sly04075","Plant hormone signal transduction","19/184","437/11892",0.0434782608695652,2.81001890359168,4.83284677967887,4.66950235263859e-05,0.000887205447001331,0.000573447657341581,"101256856/101055553/101266791/101055555/101263741/101253938/101256200/543542/100736445/101251432/101250944/543543/101259435/101260027/101248690/543748/543722/101263505/606712",19
"Metabolism","Metabolism of cofactors and vitamins","sly00670","One carbon pool by folate","5/184","40/11892",0.125,8.07880434782609,5.62174092375584,0.000356169423645389,0.0052995411638084,0.0034253728667275,"101253497/544302/101259725/101255258/101246429",5
"Metabolism","Biosynthesis of other secondary metabolites","sly00996","Biosynthesis of various alkaloids","3/184","10/11892",0.3,19.3891304347826,7.29278085575579,0.000403672698320359,0.0052995411638084,0.0034253728667275,"101255011/544002/543874",3
"Metabolism","Global and overview maps","sly01212","Fatty acid metabolism","7/184","88/11892",0.0795454545454545,5.14105731225296,4.88781456315897,0.000418384828721716,0.0052995411638084,0.0034253728667275,"101262830/112941338/101256767/101255474/101251311/101252237/101247598",7
"Metabolism","Global and overview maps","sly01240","Biosynthesis of cofactors","12/184","250/11892",0.048,3.10226086956522,4.21133275000246,0.000511271743484353,0.00582849787572162,0.00376726547830576,"101263146/101254553/101251311/101252237/544302/101259725/544238/101258297/101246429/100191133/101256030/101253875",12
"Metabolism","Amino acid metabolism","sly00400","Phenylalanine, tyrosine and tryptophan biosynthesis","5/184","49/11892",0.102040816326531,6.59494232475599,4.91971034187331,0.000922560246092535,0.009247583917536,0.00597720105473241,"544154/544153/101258500/101259361/101247331",5
"Metabolism","Carbohydrate metabolism","sly00650","Butanoate metabolism","4/184","29/11892",0.137931034482759,8.91454272863568,5.3493905481647,0.000973429886056421,0.009247583917536,0.00597720105473241,"101262830/544258/100134904/543874",4
"Metabolism","Amino acid metabolism","sly00350","Tyrosine metabolism","5/184","53/11892",0.0943396226415094,6.09721082854799,4.66218782335714,0.0013209430655801,0.011583654575087,0.00748712668749852,"101260960/544074/101252525/606710/101259357",5
"Metabolism","Carbohydrate metabolism","sly00620","Pyruvate metabolism","7/184","109/11892",0.0642201834862385,4.1505783805345,4.14240295440637,0.00149702938527903,0.0121900964229864,0.00787910202778438,"101260960/101262830/544074/543522/101251907/101256147/101246429",7
"Metabolism","Metabolism of terpenoids and polyketides","sly00900","Terpenoid backbone biosynthesis","5/184","57/11892",0.087719298245614,5.66933638443936,4.42981105900888,0.00183389108008191,0.0131574894142292,0.0085043791227705,"101262830/101261961/100134900/100134904/778360",5
"Metabolism","Global and overview maps","sly01200","Carbon metabolism","12/184","290/11892",0.0413793103448276,2.6743628185907,3.61875252352883,0.00184666518094445,0.0131574894142292,0.0085043791227705,"101262830/543522/101254553/101253940/101267392/101259725/101255258/101248455/543990/101256147/101254848/101246429",12
"Metabolism","Lipid metabolism","sly00062","Fatty acid elongation","4/184","35/11892",0.114285714285714,7.38633540372671,4.74323978308798,0.00199650917644909,0.0133883556538351,0.00865360014559977,"101267160/101247598/101246151/101268510",4
"Metabolism","Amino acid metabolism","sly00270","Cysteine and methionine metabolism","7/184","118/11892",0.0593220338983051,3.83400884303611,3.87843871323521,0.00235883549911417,0.0149392914943897,0.00965605175075975,"543800/101254553/101253940/544285/544302/101254848/101253875",7
"Metabolism","Lipid metabolism","sly00073","Cutin, suberine and wax biosynthesis","4/184","41/11892",0.0975609756097561,6.30540827147402,4.26589325185637,0.00359331128299056,0.0185211324069414,0.0119711843812179,"101248686/101257532/101267893/101267934",4
"Metabolism","Metabolism of other amino acids","sly00460","Cyanoamino acid metabolism","4/184","41/11892",0.0975609756097561,6.30540827147402,4.26589325185637,0.00359331128299056,0.0185211324069414,0.0119711843812179,"101253940/543698/101259725/101250409",4
"Genetic Information Processing","Replication and repair","sly03460","Fanconi anemia pathway","4/184","41/11892",0.0975609756097561,6.30540827147402,4.26589325185637,0.00359331128299056,0.0185211324069414,0.0119711843812179,"544003/101255870/101260976/101255547",4
"Metabolism","Amino acid metabolism","sly00260","Glycine, serine and threonine metabolism","5/184","67/11892",0.0746268656716418,4.82316677482154,3.93402227043398,0.00373671969613731,0.0185211324069414,0.0119711843812179,"101254553/101253497/101259725/101254848/101246429",5
"Metabolism","Amino acid metabolism","sly00280","Valine, leucine and isoleucine degradation","5/184","67/11892",0.0746268656716418,4.82316677482154,3.93402227043398,0.00373671969613731,0.0185211324069414,0.0119711843812179,"101262830/778303/100134904/101246429/101253875",5
"Metabolism","Glycan biosynthesis and metabolism","sly00603","Glycosphingolipid biosynthesis - globo and isoglobo series","2/184","9/11892",0.222222222222222,14.3623188405797,5.02709139113469,0.00798052989457095,0.037907516999212,0.0245016268692968,"101249542/101253853",2
"Metabolism","Carbohydrate metabolism","sly00630","Glyoxylate and dicarboxylate metabolism","5/184","81/11892",0.0617283950617284,3.98953301127214,3.38438118706325,0.00834033982182368,0.038031949587516,0.0245820542116909,"101262830/101259725/101248455/543990/101246429",5
"Organismal Systems","Environmental adaptation","sly04626","Plant-pathogen interaction","9/184","237/11892",0.0379746835443038,2.45432030820033,2.83501164370496,0.011460878473236,0.0488968020164141,0.0316045811740442,"543900/101259509/101249567/101256200/101267160/543947/778272/101246151/101268510",9
"Metabolism","Amino acid metabolism","sly00380","Tryptophan metabolism","4/184","57/11892",0.0701754385964912,4.53546910755149,3.35410834901677,0.0115808215302033,0.0488968020164141,0.0316045811740442,"101262830/543990/101246429/101265297",4
"Metabolism","Global and overview maps","sly01210","2-Oxocarboxylic acid metabolism","5/184","89/11892",0.0561797752808989,3.63092330239375,3.12308447547405,0.0122463455866728,0.0498601213171677,0.0322272252280862,"778303/101251907/101248455/101246429/101253875",5
"Metabolism","Amino acid metabolism","sly00360","Phenylalanine metabolism","4/184","60/11892",0.0666666666666667,4.30869565217391,3.2209212720644,0.0137963418624208,0.05218977409987,0.0337330026499621,"101244220/101243656/101264847/101265757",4
"Genetic Information Processing","Replication and repair","sly03440","Homologous recombination","4/184","60/11892",0.0666666666666667,4.30869565217391,3.2209212720644,0.0137963418624208,0.05218977409987,0.0337330026499621,"544003/101255870/101260976/101255547",4
"Metabolism","Lipid metabolism","sly00590","Arachidonic acid metabolism","2/184","12/11892",0.166666666666667,10.7717391304348,4.24552117456207,0.0141919561148769,0.05218977409987,0.0337330026499621,"101250409/101252788",2
"Metabolism","Lipid metabolism","sly01040","Biosynthesis of unsaturated fatty acids","3/184","34/11892",0.0882352941176471,5.70268542199489,3.44236096230326,0.0153376363534926,0.0546403295093174,0.0353169258139633,"112941338/101256767/101255474",3
"Metabolism","Carbohydrate metabolism","sly00010","Glycolysis / Gluconeogenesis","6/184","133/11892",0.0451127819548872,2.91565871199738,2.78506610932518,0.0172244471054968,0.0595026354553526,0.0384596905066915,"101246495/101260960/544074/101267392/101256147/101246429",6
"Metabolism","Energy metabolism","sly00910","Nitrogen metabolism","3/184","36/11892",0.0833333333333333,5.38586956521739,3.30380655837849,0.0178946497151651,0.0599997078684947,0.0387809746149088,"778326/101268239/101259260",3
"Metabolism","Lipid metabolism","sly00100","Steroid biosynthesis","3/184","38/11892",0.0789473684210526,5.10240274599542,3.17522404901482,0.0206745102619456,0.0673398334246229,0.0435252847619908,"101249884/100147715/101264777",3
"Metabolism","Metabolism of terpenoids and polyketides","sly00905","Brassinosteroid biosynthesis","2/184","15/11892",0.133333333333333,8.61739130434782,3.70062655815077,0.0219031810238872,0.0693600732423095,0.0448310722711142,"543801/100037489",2
"Genetic Information Processing","Replication and repair","sly03030","DNA replication","3/184","43/11892",0.0697674418604651,4.50910010111223,2.88978730841743,0.0286023506078934,0.0881261613324283,0.0569605844253922,"101268250/101255870/101055576",3
"Metabolism","Lipid metabolism","sly00591","Linoleic acid metabolism","2/184","18/11892",0.111111111111111,7.18115942028985,3.28991304384138,0.030965615449481,0.0915716954194543,0.0591876147678837,"101263535/101252788",2
"Environmental Information Processing","Membrane transport","sly02010","ABC transporters","4/184","77/11892",0.051948051948052,3.35742518351214,2.6016158057163,0.031327158959287,0.0915716954194543,0.0591876147678837,"101244486/101260345/101260177/101247843",4
"Metabolism","Metabolism of cofactors and vitamins","sly00780","Biotin metabolism","2/184","19/11892",0.105263157894737,6.80320366132723,3.17351914757584,0.0342625129973675,0.0976481620424975,0.0631151555214665,"101251311/101252237",2
