"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Carbohydrate metabolism","sly00052","Galactose metabolism","8/144","66/11892",0.121212121212121,10.010101010101,8.12626829691638,1.20779658699769e-06,0.000100247116720808,6.61109710777682e-05,"100316891/101244339/101257623/101263843/101253771/101268121/101254509/101261450",8
NA,NA,"sly04981","Folate transport and metabolism","6/144","42/11892",0.142857142857143,11.797619047619,7.76071862311836,1.04039029239442e-05,0.000431761971343686,0.000284738395813211,"101252315/101251816/101254989/101248317/101267994/101264742",6
"Organismal Systems","Environmental adaptation","sly04712","Circadian rhythm - plant","6/144","47/11892",0.127659574468085,10.5425531914894,7.25695537611061,2.02625356002812e-05,0.000560596818274446,0.000369702403934955,"101267355/101261662/101249991/101254900/778253/778294",6
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","10/144","193/11892",0.0518134715025907,4.27892918825561,5.08445945445697,0.000117268145160873,0.00243331401208812,0.00160472198641195,"101244003/100316895/606299/543571/101256105/544147/606304/101265257/101249467/101246907",10
"Metabolism","Carbohydrate metabolism","sly00010","Glycolysis / Gluconeogenesis","8/144","133/11892",0.0601503759398496,4.96741854636591,5.09397854147131,0.000208535208176553,0.00346168445573078,0.00228291175266963,"101253771/101257775/101267346/101268121/101255458/101249787/101256911/101246870",8
"Genetic Information Processing","Folding, sorting and degradation","sly04141","Protein processing in endoplasmic reticulum","10/144","219/11892",0.045662100456621,3.77092846270928,4.5821003378676,0.000327103803574092,0.00452493594944161,0.00298410487471101,"100134914/101264183/101055596/101255164/100736433/101265499/543846/101244060/543572/101252822",10
"Metabolism","Energy metabolism","sly00710","Carbon fixation by Calvin cycle","6/144","82/11892",0.0731707317073171,6.04268292682927,5.07285099041738,0.000467045993580452,0.00538704305346533,0.0035526472895396,"101267346/101249787/101248407/101245149/101246870/101251315",6
"Metabolism","Carbohydrate metabolism","sly00030","Pentose phosphate pathway","5/144","55/11892",0.0909090909090909,7.50757575757576,5.35535444838963,0.000519233065394249,0.00538704305346533,0.0035526472895396,"101253771/101268121/101249787/101246870/101251315",5
"Metabolism","Metabolism of terpenoids and polyketides","sly00906","Carotenoid biosynthesis","4/144","39/11892",0.102564102564103,8.47008547008547,5.17311578446295,0.00122036416366533,0.011254469509358,0.00742209783749675,"544133/543964/543988/544104",4
"Environmental Information Processing","Membrane transport","sly02010","ABC transporters","5/144","77/11892",0.0649350649350649,5.36255411255411,4.25184861431543,0.00238463155473431,0.0187074676879029,0.0123372012653259,"101252315/101254989/101248317/101267994/101264742",5
"Environmental Information Processing","Signal transduction","sly04075","Plant hormone signal transduction","13/144","437/11892",0.0297482837528604,2.45671243325706,3.43498990776151,0.00247930294658954,0.0187074676879029,0.0123372012653259,"101244003/104649549/100316895/101267355/606299/101055583/101247697/101251833/101264094/101267951/101256828/101246907/100037508",13
"Metabolism","Global and overview maps","sly01200","Carbon metabolism","10/144","290/11892",0.0344827586206897,2.84770114942529,3.52673448168331,0.00276254524799518,0.0191076046319667,0.0126010835873464,"101253771/101257775/101267346/101268121/101249787/101248407/101245149/101246870/101055519/101251315",10
"Metabolism","Amino acid metabolism","sly00270","Cysteine and methionine metabolism","6/144","118/11892",0.0508474576271186,4.19915254237288,3.86653907289172,0.00308270130909113,0.0196818622041972,0.0129797949856469,"101255136/101248619/101254608/101251816/606304/101260400",6
"Cellular Processes","Transport and catabolism","sly04144","Endocytosis","7/144","167/11892",0.0419161676646707,3.46157684630739,3.54669362917559,0.00417855821002794,0.0247728808165942,0.0163372200692822,"100134914/101055596/101255164/100736433/101248969/101245304/101253987",7
"Metabolism","Lipid metabolism","sly00565","Ether lipid metabolism","3/144","30/11892",0.1,8.25833333333333,4.40683756842081,0.00555691706891795,0.0307482744480127,0.0202778728128936,"101248969/101245304/101253987",3
"Organismal Systems","Environmental adaptation","sly04626","Plant-pathogen interaction","8/144","237/11892",0.0337552742616034,2.78762306610408,3.07753110134111,0.00817246654392953,0.0406086132164448,0.0267805692740029,"101245539/101264183/101267202/101260537/101244910/543571/112940015/101258036",8
"Metabolism","Carbohydrate metabolism","sly00053","Ascorbate and aldarate metabolism","4/144","66/11892",0.0606060606060606,5.00505050505051,3.61218091897684,0.0083174268033682,0.0406086132164448,0.0267805692740029,"101251411/544013/544280/101263934",4
"Metabolism","Metabolism of other amino acids","sly00430","Taurine and hypotaurine metabolism","2/144","12/11892",0.166666666666667,13.7638888888889,4.89749368118243,0.00887566920612982,0.0409266968949319,0.0269903391063597,"101258974/100147723",2
"Metabolism","Biosynthesis of other secondary metabolites","sly00941","Flavonoid biosynthesis","3/144","37/11892",0.0810810810810811,6.69594594594595,3.84170850242561,0.0100004273319034,0.0423175214738425,0.0279075601349373,"101266223/778294/101247849",3
"Metabolism","Carbohydrate metabolism","sly00051","Fructose and mannose metabolism","4/144","70/11892",0.0571428571428571,4.71904761904762,3.45496576486014,0.0101969931262271,0.0423175214738425,0.0279075601349373,"101253771/101268121/101249787/101246870",4
"Metabolism","Carbohydrate metabolism","sly00500","Starch and sucrose metabolism","6/144","154/11892",0.038961038961039,3.21753246753247,3.06649147516799,0.0110432105776269,0.0436469751401443,0.0287843082725111,"100736451/100191117/101254155/101055611/101246575/101262329",6
"Metabolism","Biosynthesis of other secondary metabolites","sly00960","Tropane, piperidine and pyridine alkaloid biosynthesis","3/144","40/11892",0.075,6.19375,3.64270231768926,0.0123862779458235,0.0467300486137885,0.030817533645111,"101260288/101251506/101253199",3
"Metabolism","Lipid metabolism","sly00073","Cutin, suberine and wax biosynthesis","3/144","41/11892",0.0731707317073171,6.04268292682927,3.5808370423841,0.0132477172580831,0.0478069796704738,0.0315277481656898,"101257641/101264266/101245281",3
"Metabolism","Carbohydrate metabolism","sly00562","Inositol phosphate metabolism","4/144","77/11892",0.051948051948052,4.29004329004329,3.20655415220017,0.0141084235702243,0.0487916315136923,0.0321771063882308,"543809/544013/544280/544226",4
"Metabolism","Metabolism of terpenoids and polyketides","sly00902","Monoterpenoid biosynthesis","2/144","16/11892",0.125,10.3229166666667,4.13128509187376,0.0156352287783541,0.0519089595441356,0.0342329219568174,"543602/101259903",2
"Metabolism","Carbohydrate metabolism","sly00040","Pentose and glucuronate interconversions","5/144","127/11892",0.0393700787401575,3.25131233595801,2.82390519561031,0.0190231917629761,0.0607278813971929,0.0400488247641602,"101260096/101268391/101253756/101260021/101244677",5
"Metabolism","Global and overview maps","sly01230","Biosynthesis of amino acids","7/144","226/11892",0.0309734513274336,2.55789085545723,2.61781365234007,0.0200312247168476,0.0615774685740129,0.0406091105370789,"101253771/101257775/101268121/101254608/101249787/101246870/101251315",7
"Metabolism","Metabolism of cofactors and vitamins","sly00740","Riboflavin metabolism","2/144","20/11892",0.1,8.25833333333333,3.59665208721035,0.0239881196687184,0.071107640446558,0.0468940685253141,"101261429/101249252",2
"Metabolism","Metabolism of cofactors and vitamins","sly00860","Porphyrin metabolism","3/144","52/11892",0.0576923076923077,4.76442307692308,3.01184566989047,0.0249532346689392,0.0714178785352397,0.047098664347907,"104647958/101244441/101258237",3
