"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Biosynthesis of other secondary metabolites","sly00940","Phenylpropanoid biosynthesis","45/307","179/11892",0.251396648044693,9.73813986497552,19.1752835166057,3.08172505578587e-32,3.7288873175009e-30,2.66001531130991e-30,"101247849/101260463/101246092/101249969/544293/101260278/101246312/101267376/101265606/101249975/101257228/101265690/101265187/101267754/101265511/101266098/101249612/101249624/101254287/101244951/101255589/101248973/101244376/101244668/101262919/101264425/101244289/101261825/101248210/544249/101264739/543959/101246070/101246453/101266746/101248236/101261963/101253032/101268440/101268153/101261765/101262063/101262367/101243656/101248159",45
"Metabolism","Biosynthesis of other secondary metabolites","sly00945","Stilbenoid, diarylheptanoid and gingerol biosynthesis","11/307","23/11892",0.478260869565217,18.525987820422,13.6952421912382,2.91528706010242e-12,1.76374867136196e-10,1.25817652067578e-10,"101247849/101246092/101260278/101265690/101265187/101262919/544249/101253032/101261765/101262063/101262367",11
"Metabolism","Biosynthesis of other secondary metabolites","sly00941","Flavonoid biosynthesis","11/307","37/11892",0.297297297297297,11.5161545910732,10.4288735786607,1.33479885319774e-09,5.38368870789755e-08,3.84047389341104e-08,"101247849/101246092/101260278/101265690/101265187/101262919/544249/101253032/101261765/101262063/101262367",11
"Metabolism","Metabolism of other amino acids","sly00480","Glutathione metabolism","15/307","112/11892",0.133928571428571,5.18787808282922,7.24871048664702,1.7607742654891e-07,5.32634215310451e-06,3.79956552026594e-06,"101264583/101264282/101268630/101255673/544209/101249821/101247725/543836/543536/101268500/101265571/101266084/101246397/544017/101265520",15
"Metabolism","Amino acid metabolism","sly00400","Phenylalanine, tyrosine and tryptophan biosynthesis","10/307","49/11892",0.204081632653061,7.90533803097786,7.88465103374112,3.82412173490941e-07,9.25437459848077e-06,6.60164173184361e-06,"543548/101243843/544078/100736464/544153/101259361/101264863/101258500/101247693/101252470",10
"Metabolism","Biosynthesis of other secondary metabolites","sly00960","Tropane, piperidine and pyridine alkaloid biosynthesis","9/307","40/11892",0.225,8.71563517915309,7.95675923863056,6.12562694135852e-07,1.2353347665073e-05,8.8123054244105e-06,"100736464/101263402/104647586/101245061/101247232/101254319/101251506/101264863/101252470",9
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","18/307","193/11892",0.0932642487046632,3.6126985198562,5.95694981681652,2.53377374989464e-06,4.12713060580341e-05,2.94410360744567e-05,"606304/544146/101259509/544149/101256856/101262522/606712/101248690/101260252/101267332/104648939/101266151/101247461/543712/101267358/101251136/101245906/778234",18
"Metabolism","Amino acid metabolism","sly00360","Phenylalanine metabolism","10/307","60/11892",0.166666666666667,6.45602605863192,6.8968906262942,2.72868139226672e-06,4.12713060580341e-05,2.94410360744567e-05,"100736464/101249664/101254319/101264847/101265757/778254/101264863/101255350/101243656/101252470",10
"Metabolism","Amino acid metabolism","sly00350","Tyrosine metabolism","9/307","53/11892",0.169811320754717,6.57783787105894,6.62485945725915,7.3927157665866e-06,9.93909564174421e-05,7.09008997497195e-05,"101263372/100736464/101254319/606710/101261257/101260960/101264863/101255350/101252470",9
"Metabolism","Biosynthesis of other secondary metabolites","sly00950","Isoquinoline alkaloid biosynthesis","7/307","30/11892",0.233333333333333,9.03843648208469,7.17601949959829,8.71780591620387e-06,0.000105485451586067,7.52484300135491e-05,"101263372/100736464/101254319/606710/101261257/101264863/101252470",7
"Metabolism","Amino acid metabolism","sly00270","Cysteine and methionine metabolism","13/307","118/11892",0.110169491525424,4.26754264892619,5.80671633801574,1.07344668190935e-05,0.000118079135010029,8.42321798244659e-05,"606304/101246567/101244469/101247725/101266529/543800/544052/544285/543536/101264863/101253940/101251255/101252470",13
