"","VEG-05-Flt-SN01-Adv-Root-Red","VEG-05-Flt-SN03-Adv-Root-Red","VEG-05-Flt-SN04-Adv-Root-Red","VEG-05-Flt-SN05-Adv-Root-Red","VEG-05-Flt-SN06-Adv-Root-Red","VEG-05-Flt-SN010-Adv-Root-Blue","VEG-05-Flt-SN012-Adv-Root-Blue","VEG-05-Flt-SN07-Adv-Root-Blue","VEG-05-Flt-SN08-Adv-Root-Blue","VEG-05-Gnd-SN02-Adv-Root-Red","VEG-05-Gnd-SN04-Adv-Root-Red","VEG-05-Gnd-SN05-Adv-Root-Red","VEG-05-Gnd-SN07-Adv-Root-Blue","VEG-05-Gnd-SN09-Adv-Root-Blue","VEG-05-Gnd-SN10-Adv-Root-Blue"
"ENSRNA050029505",3.92486585636673,3.92486585636673,3.92486585636673,3.92486585636673,3.92486585636673,5.44533472241408,4.30401155922521,7.48379135308304,3.92486585636673,3.92486585636673,4.83151927434348,4.81190748139022,3.92486585636673,3.92486585636673,3.92486585636673
"ENSRNA050029543",4.29713560372095,6.61501769846773,5.69485651082623,4.35443708556832,4.51109213410954,5.69645210681911,5.14514612331034,6.5934438216967,4.44570429039812,4.62512207390677,4.32303340966224,5.06489200632696,3.92486585636673,3.92486585636673,4.49820570003191
"ENSRNA050029547",4.29713560372095,6.98357181175465,5.51269765374632,5.60586508019336,5.68100788745071,5.65419424475949,5.01556373058421,7.87732209439304,4.61112967693016,4.73088902955405,4.48620107802229,5.62520015049432,4.18670394221579,4.14957531791898,5.03911812220519
"ENSRNA050029557",4.8970013757322,7.03285462671397,4.53267995525343,4.95478959164073,4.67158568824924,6.44967718996503,4.67280354795752,7.19567215756154,5.01047068290349,4.53702508272421,3.92486585636673,5.42249892045813,4.11720355328519,4.08353338385375,4.6965577353087
"ENSRNA050029620",4.75030624738722,6.45968613985522,4.80942350019854,5.10099569305388,4.92920252327215,5.11767278447688,4.64827279180558,7.30454206923139,4.66068060849979,4.72492008752224,4.4932660033045,5.61134163493056,4.38085368955765,4.61058016737002,4.78634377697532
"ENSRNA050029622",4.44989451816477,6.10922429353167,5.44506755600971,4.35443708556832,4.74840353699989,5.69645210681911,4.77751727379906,7.62088743065695,4.37653185884382,4.2130793300567,3.92486585636673,4.83924215613691,4.18670394221579,3.92486585636673,4.39401267539461
"ENSRNA050029624",4.8970013757322,3.92486585636673,4.53267995525343,4.95478959164073,4.67158568824924,3.92486585636673,4.67280354795752,7.19567215756154,4.91086248346184,4.53702508272421,3.92486585636673,5.42249892045813,4.11720355328519,4.08353338385375,4.6965577353087
"ENSRNA050029646",6.29281589293298,10.2672659663067,8.77412155816757,7.97414210251202,10.0704336323641,10.8595819941636,7.59673408656495,11.9250987038322,6.5366618309038,7.7056927578187,8.98049439625451,8.26202451410433,6.08801720395626,6.5263615069282,7.63575668934729
"ENSRNA050029649",9.41216400798505,13.3421476640969,11.8974568861151,11.0953714822156,12.8617463116658,13.848919578965,10.4290348735244,15.7450678394962,9.54599395266083,10.2237309459871,12.3778942610806,10.9659392134495,8.76167429917055,9.03045666063846,10.454267884278
"ENSRNA050029653",10.0828833669182,14.516202044601,12.9109220468021,12.0641853728424,13.9849338254358,15.2908660859753,11.6922355242906,16.4413560217929,10.0807875411577,11.976590146799,13.1574273817016,12.1843188432325,9.02730038700149,9.84733169488215,11.3948876689233
"ENSRNA050029658",4.82600777304773,7.86040790378226,5.97339669315144,5.69717512385672,5.82127938435604,7.67426423029505,6.09336912015512,11.0924386119099,5.19132920329455,4.77159479599199,5.12489159464032,5.59033219429152,4.6696403640052,4.51805166114368,5.03775841511887
"ENSRNA050029699",4.82675936054462,6.45018038890872,4.64831008057369,5.23472151297013,5.51765345260493,5.12624148331456,5.16119125436264,6.18809854699613,4.78475686103427,4.62021151873567,3.92486585636673,5.44236082650686,4.68539738622251,4.69491047590843,4.81509061600855
"ENSRNA050029701",4.75034529157714,3.92486585636673,5.54732814976284,4.77139771062144,4.93057270610424,4.63588819858952,4.65667451358962,5.31617331635408,4.1876860322133,5.04375719685776,4.61482015679741,4.30307074318294,4.56510539420384,4.60564241980437,4.41775491172959
"ENSRNA050029703",4.56505008612085,5.74172484992334,3.92486585636673,4.35389016090711,3.92486585636673,5.32299809652441,4.87233954840515,6.70159335807611,4.18533662635571,4.5671500658233,5.2081422690031,5.4663827826571,4.29463269820201,4.31163690017109,4.568634937707
"ENSRNA050029732",13.9490058056098,17.9678471894952,16.4676040024292,15.7068337217789,17.3066460679567,18.3612153465297,15.2605129072525,19.6894950878317,14.0523841372905,14.5657241346018,16.6012068512989,15.6776441220794,12.9768724734446,13.529081425768,15.302236255727
"ENSRNA050029735",11.5925387793514,15.6670700948106,14.1692867429771,13.156423067994,15.3118315801645,16.3354986245862,12.9001883236081,17.2578976874358,11.3081470851885,13.1995088305506,14.6415285133361,13.548322913655,10.4833838899915,11.3160739268223,12.5818304699249
"ENSRNA050029737",10.070053275466,14.1042213273696,12.7375624590665,11.773807814998,13.7086781905459,14.9728526815235,11.8821506065728,16.1670903469639,10.2102562804015,11.0450794117709,13.0103978526515,11.7346930027616,9.44586207122143,9.78471044428085,11.5628409363761
"ENSRNA050029739",6.21018886851431,9.8330478047848,8.1900525657456,7.2892380929972,8.6656545852739,8.99130060031998,7.33846027350795,11.3849887645753,6.0188025796709,6.10845363730337,7.82833202511741,6.66054852114357,5.44801858271195,5.68258117195787,6.56333586022936
"ENSRNA050029741",10.0432261541903,12.9454303824689,10.7113553021123,9.9084290160984,11.7282438707777,13.9652317269097,11.2127855333065,16.4728488625591,9.31420751316823,9.82046956426656,13.3408207592587,11.2817568617224,8.88228040603508,9.09888902518921,11.3915763722876
"ENSRNA050029745",6.35232262940247,10.5001349125367,8.88287563140932,7.77129629920057,9.43336199672661,9.07464797921704,7.6986598850223,11.9640720023878,6.41256276293677,6.53242769464359,7.89848070499013,7.45420848496491,5.85203155644115,6.22772328689982,6.74612952342878
"ENSRNA050029789",5.07646038663723,8.65947594821624,6.3155867731681,6.28636021811735,6.01400476631758,8.06219046838172,5.50540610195797,11.7470998523809,5.09133934819062,5.42460290984229,6.46458416678755,6.32547340766318,4.8135348418294,4.44584330367551,5.41797645263942
